Video Shots: 102

frame_number: 1660| shot_start: 0.0| shot_end: 33.3| shot_type: wide| has_goal: False| has_goal_mouth: True| has_high_volume: False
frame_number: 1890| shot_start: 33.4| shot_end: 37.9| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 2085| shot_start: 38.0| shot_end: 41.8| shot_type: wide| has_goal: False| has_goal_mouth: True| has_high_volume: False
frame_number: 2875| shot_start: 00:00:41| shot_end: 00:00:57| shot_type: wide| has_goal: False| has_goal_mouth: True| has_high_volume: False
frame_number: 2925| shot_start: 00:00:57| shot_end: 00:00:58| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 2990| shot_start: 00:00:58| shot_end: 00:00:59| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 3355| shot_start: 00:01:00| shot_end: 00:01:07| shot_type: medium| has_goal: True| has_goal_mouth: False| has_high_volume: False
frame_number: 3425| shot_start: 00:01:07| shot_end: 00:01:08| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 3745| shot_start: 00:01:08| shot_end: 00:01:15| shot_type: close-out| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 3785| shot_start: 00:01:15| shot_end: 00:01:15| shot_type: logo| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 4525| shot_start: 00:01:15| shot_end: 00:01:30| shot_type: wide| has_goal: False| has_goal_mouth: False| has_high_volume: True
frame_number: 4795| shot_start: 00:01:30| shot_end: 00:01:36| shot_type: wide| has_goal: False| has_goal_mouth: True| has_high_volume: False
frame_number: 4855| shot_start: 00:01:36| shot_end: 00:01:37| shot_type: medium| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 5250| shot_start: 00:01:37| shot_end: 00:01:45| shot_type: close-out| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 5705| shot_start: 00:01:45| shot_end: 00:01:54| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 5750| shot_start: 00:01:54| shot_end: 00:01:55| shot_type: logo| has_goal: False| has_goal_mouth: False| has_high_volume: False
frame_number: 6075| shot_start: 115.2| shot_end: 121.6| shot_type: close| has_goal: False| has_goal_mouth: False| has_high_volume: False
