Video Shots: 102

frame_number: 1660 | start: 0.0 | end: 33.3 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 1890 | start: 33.4 | end: 37.9 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 2085 | start: 38.0 | end: 41.8 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 2875 | start: 00:00:41 | end: 00:00:57 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 2925 | start: 00:00:57 | end: 00:00:58 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 2990 | start: 00:00:58 | end: 00:00:59 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 3355 | start: 00:01:00 | end: 00:01:07 | type: medium | goal: True | goal_mouth: False | audio: False 
frame_number: 3425 | start: 00:01:07 | end: 00:01:08 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 3745 | start: 00:01:08 | end: 00:01:15 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 3785 | start: 00:01:15 | end: 00:01:15 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 4525 | start: 00:01:15 | end: 00:01:30 | type: wide | goal: False | goal_mouth: False | audio: True 
frame_number: 4795 | start: 00:01:30 | end: 00:01:36 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 4855 | start: 00:01:36 | end: 00:01:37 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 5250 | start: 00:01:37 | end: 00:01:45 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 5705 | start: 00:01:45 | end: 00:01:54 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 5750 | start: 00:01:54 | end: 00:01:55 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 6075 | start: 115.2 | end: 121.6 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 6265 | start: 121.7 | end: 125.4 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 8735 | start: 00:02:05 | end: 00:02:54 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 8855 | start: 00:02:54 | end: 00:02:57 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 8875 | start: 00:02:57 | end: 00:02:57 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 9045 | start: 00:02:57 | end: 00:03:01 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 9165 | start: 00:03:01 | end: 00:03:03 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 9410 | start: 00:03:03 | end: 00:03:08 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 9455 | start: 00:03:08 | end: 00:03:09 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 9770 | start: 00:03:09 | end: 00:03:15 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 9805 | start: 00:03:15 | end: 00:03:16 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 12955 | start: 00:03:16 | end: 00:04:19 | type: wide | goal: False | goal_mouth: False | audio: True 
frame_number: 13000 | start: 259.3 | end: 260.2 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 15895 | start: 00:04:28 | end: 00:05:34 | type: wide | goal: True | goal_mouth: False | audio: True 
frame_number: 16350 | start: 00:05:34 | end: 00:05:43 | type: wide | goal: True | goal_mouth: True | audio: False 
frame_number: 16460 | start: 00:05:43 | end: 00:05:46 | type: close | goal: False | goal_mouth: False | audio: True 
frame_number: 16480 | start: 00:05:46 | end: 00:05:46 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 16630 | start: 00:05:46 | end: 00:05:49 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 16660 | start: 00:05:49 | end: 00:05:50 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 17215 | start: 00:05:50 | end: 00:06:01 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 17610 | start: 00:06:01 | end: 00:06:09 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 18140 | start: 00:06:09 | end: 00:06:19 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 18170 | start: 00:06:19 | end: 00:06:20 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 18560 | start: 380.3 | end: 388.0 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 18715 | start: 388.1 | end: 391.1 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 20410 | start: 391.2 | end: 425.0 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 20690 | start: 425.1 | end: 430.6 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 21735 | start: 00:07:10 | end: 00:07:31 | type: wide | goal: False | goal_mouth: False | audio: True 
frame_number: 22520 | start: 00:07:31 | end: 00:07:47 | type: medium | goal: False | goal_mouth: True | audio: True 
