Video Shots: 96

frame_number: 710 | start: 00:00:00 | end: 00:00:14 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 1055 | start: 00:00:14 | end: 00:00:21 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 1155 | start: 00:00:21 | end: 00:00:23 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 1195 | start: 00:00:23 | end: 00:00:23 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 1685 | start: 00:00:24 | end: 00:00:33 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 1715 | start: 00:00:33 | end: 00:00:34 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 2725 | start: 34.4 | end: 54.5 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 3115 | start: 54.6 | end: 62.3 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 3530 | start: 62.4 | end: 70.6 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 4210 | start: 70.7 | end: 84.2 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 4445 | start: 84.3 | end: 88.9 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 4565 | start: 89.0 | end: 91.3 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 5335 | start: 91.4 | end: 106.7 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 5655 | start: 106.8 | end: 113.1 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 5860 | start: 113.2 | end: 117.2 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 7385 | start: 117.3 | end: 147.7 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 7475 | start: 147.8 | end: 149.5 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 9035 | start: 149.6 | end: 180.7 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 9110 | start: 180.8 | end: 182.2 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 12365 | start: 182.3 | end: 247.3 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 12445 | start: 247.4 | end: 248.9 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 12630 | start: 249.0 | end: 252.6 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 13180 | start: 00:04:12 | end: 00:04:23 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 13220 | start: 00:04:23 | end: 00:04:24 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 13730 | start: 00:04:24 | end: 00:04:34 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 13760 | start: 00:04:34 | end: 00:04:35 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 24985 | start: 00:04:35 | end: 00:04:59 | type: wide | goal: False | goal_mouth: True | audio: True 
frame_number: 15070 | start: 00:04:59 | end: 00:05:01 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 15105 | start: 00:05:01 | end: 00:05:02 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 15135 | start: 00:05:02 | end: 00:05:02 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 15160 | start: 00:05:02 | end: 00:05:03 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 26210 | start: 00:05:04 | end: 00:05:24 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 16215 | start: 00:05:24 | end: 00:05:24 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 16815 | start: 325.3 | end: 336.3 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 16990 | start: 336.4 | end: 339.8 | type: medium | goal: False | goal_mouth: True | audio: False 
