Video Shots: 163

frame_number: 150 | start: 00:00:00 | end: 00:00:03 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 310 | start: 00:00:03 | end: 00:00:06 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 2760 | start: 00:00:06 | end: 00:00:55 | type: wide | goal: False | goal_mouth: True | audio: True 
frame_number: 2880 | start: 00:00:55 | end: 00:00:57 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 2910 | start: 00:00:57 | end: 00:00:58 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 3275 | start: 00:00:58 | end: 00:01:05 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 3300 | start: 00:01:05 | end: 00:01:06 | type: <member 'LOGO' of 'SHOT_TYPES' objects> | goal: False | goal_mouth: False | audio: False 
frame_number: 3335 | start: 00:01:06 | end: 00:01:06 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 3505 | start: 00:01:06 | end: 00:01:10 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 3655 | start: 00:01:10 | end: 00:01:13 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 3850 | start: 00:01:13 | end: 00:01:17 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 3920 | start: 00:01:17 | end: 00:01:18 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 4165 | start: 00:01:18 | end: 00:01:23 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 4485 | start: 00:01:23 | end: 00:01:29 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 5800 | start: 00:01:29 | end: 00:01:56 | type: wide | goal: False | goal_mouth: False | audio: True 
frame_number: 6160 | start: 00:01:56 | end: 00:02:03 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 6185 | start: 00:02:03 | end: 00:02:03 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 6300 | start: 00:02:03 | end: 00:02:06 | type: close | goal: False | goal_mouth: False | audio: True 
frame_number: 6625 | start: 00:02:06 | end: 00:02:12 | type: close-out | goal: False | goal_mouth: False | audio: True 
frame_number: 8270 | start: 00:02:12 | end: 00:02:45 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 8350 | start: 00:02:45 | end: 00:02:47 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 8740 | start: 00:02:47 | end: 00:02:54 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 9045 | start: 00:02:54 | end: 00:03:00 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 9150 | start: 00:03:01 | end: 00:03:03 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 11380 | start: 00:03:03 | end: 00:03:47 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 11425 | start: 00:03:47 | end: 00:03:48 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 11565 | start: 00:03:48 | end: 00:03:51 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 11745 | start: 00:03:51 | end: 00:03:55 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 15930 | start: 00:03:55 | end: 00:05:18 | type: wide | goal: False | goal_mouth: False | audio: True 
frame_number: 16315 | start: 00:05:18 | end: 00:05:26 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 16355 | start: 00:05:26 | end: 00:05:27 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 16870 | start: 00:05:27 | end: 00:05:37 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 16915 | start: 00:05:37 | end: 00:05:38 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 17210 | start: 00:05:38 | end: 00:05:44 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 17485 | start: 00:05:44 | end: 00:05:49 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 17765 | start: 00:05:49 | end: 00:05:55 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 17970 | start: 00:05:55 | end: 00:05:59 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 18155 | start: 00:05:59 | end: 00:06:03 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 18300 | start: 00:06:03 | end: 00:06:06 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 18650 | start: 00:06:06 | end: 00:06:13 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 18850 | start: 00:06:13 | end: 00:06:17 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 19155 | start: 00:06:17 | end: 00:06:23 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 19410 | start: 00:06:23 | end: 00:06:28 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 19475 | start: 00:06:28 | end: 00:06:29 | type: close-out | goal: False | goal_mouth: False | audio: False 
