Video Shots: 85

frame_number: 525 | start: 0.0 | end: 10.5 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 1375 | start: 10.6 | end: 27.5 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 1395 | start: 27.6 | end: 27.9 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 1440 | start: 28.0 | end: 28.8 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 1530 | start: 28.9 | end: 30.6 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 1795 | start: 30.7 | end: 35.9 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 2630 | start: 36.0 | end: 52.6 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 2715 | start: 52.7 | end: 54.3 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 3740 | start: 54.4 | end: 74.8 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 4080 | start: 74.9 | end: 81.6 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 4110 | start: 81.7 | end: 82.2 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 4155 | start: 82.3 | end: 83.1 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 4275 | start: 83.2 | end: 85.5 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 4800 | start: 85.6 | end: 96.0 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 4900 | start: 96.1 | end: 98.0 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 5370 | start: 98.1 | end: 107.4 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 5870 | start: 107.5 | end: 117.4 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 6955 | start: 117.5 | end: 139.1 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 7200 | start: 139.2 | end: 144.0 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 8850 | start: 00:02:24 | end: 00:02:57 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 9015 | start: 00:02:57 | end: 00:03:00 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 9070 | start: 00:03:00 | end: 00:03:01 | type: medium | goal: False | goal_mouth: False | audio: False 
