Video Shots: 160

frame_number: 150 | start: 0.0 | end: 3.0 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 310 | start: 3.1 | end: 6.2 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 2760 | start: 00:00:06 | end: 00:00:55 | type: wide | goal: False | goal_mouth: True | audio: True 
frame_number: 2880 | start: 00:00:55 | end: 00:00:57 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 2910 | start: 00:00:57 | end: 00:00:58 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 3300 | start: 00:00:58 | end: 00:01:06 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 3335 | start: 00:01:06 | end: 00:01:06 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 3505 | start: 66.8 | end: 70.1 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 3655 | start: 70.2 | end: 73.1 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 3850 | start: 73.2 | end: 77.0 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 3920 | start: 77.1 | end: 78.4 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 4165 | start: 78.5 | end: 83.3 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 4485 | start: 83.4 | end: 89.7 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 5800 | start: 00:01:29 | end: 00:01:56 | type: wide | goal: False | goal_mouth: False | audio: True 
frame_number: 6160 | start: 116.1 | end: 123.2 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 6185 | start: 123.3 | end: 123.7 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 6300 | start: 00:02:03 | end: 00:02:06 | type: close | goal: False | goal_mouth: False | audio: True 
frame_number: 6625 | start: 00:02:06 | end: 00:02:12 | type: close-out | goal: False | goal_mouth: False | audio: True 
frame_number: 8270 | start: 132.6 | end: 165.4 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 8350 | start: 165.5 | end: 167.0 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 8740 | start: 167.1 | end: 174.8 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 9045 | start: 174.9 | end: 180.9 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 9150 | start: 181.0 | end: 183.0 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 11380 | start: 183.1 | end: 227.7 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 11425 | start: 227.8 | end: 228.6 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 11565 | start: 228.7 | end: 231.4 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 11745 | start: 231.5 | end: 235.0 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 15930 | start: 00:03:55 | end: 00:05:18 | type: wide | goal: False | goal_mouth: False | audio: True 
frame_number: 16315 | start: 00:05:18 | end: 00:05:26 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 16355 | start: 00:05:26 | end: 00:05:27 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 16870 | start: 00:05:27 | end: 00:05:37 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 16915 | start: 00:05:37 | end: 00:05:38 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 17210 | start: 338.5 | end: 344.3 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 17485 | start: 344.4 | end: 349.8 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 17765 | start: 349.9 | end: 355.4 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 17970 | start: 355.5 | end: 359.5 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 18155 | start: 359.6 | end: 363.2 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 18300 | start: 363.3 | end: 366.1 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 18650 | start: 366.2 | end: 373.1 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 18850 | start: 373.2 | end: 377.1 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 19155 | start: 377.2 | end: 383.2 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 19410 | start: 383.3 | end: 388.3 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 19475 | start: 388.4 | end: 389.6 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 19600 | start: 389.7 | end: 392.1 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 19620 | start: 392.2 | end: 392.5 | type: close | goal: False | goal_mouth: False | audio: False 
